Insult/Quote,Topic,TEXT,Play,Act,Scene
Quote,anger,"Let grief / Convert to anger; blunt not the heart, enrage it.",Macbeth,4,3
Quote,anger,"O, that my tongue were in the thunder's mouth! / Then with a passion would I shake the world.",King John,3,4
Quote,anger,Come not within the measure of my wrath.,Two Gentlemen Of Verona,5,4
Quote,anger,There is no following her in this fierce vein.,A Midsummer Night'S Dream,3,2
Quote,Life,"To be, or not to be, that is the question.",Hamlet,3,1
Quote,Life,"All the world's a stage, / And all the men and women merely players.",As You Like It,2,7
Quote,Life,"Out, out brief candle! / Life's but a walking shadow, a poor player, / That struts and frets his hour upon the stage.",Macbeth,5,5
Quote,Life,We are such stuff / As dreams are made on; and our little life / Is rounded with a sleep.,The Tempest,4,1
Quote,Life,"Be not afraid of greatness. Some are born great, some achieve greatness, and some have greatness thrust upon 'em.",Twelfth Night,2,5
Quote,Life,When we are born we cry that we are come / To this great stage of fools,King Lear,4,6
Quote,Life,"The web of our life is of a mingled yarn, good and ill together.",All'S Well That Ends Well,2,2
Quote,Life,"You cannot, sir, take from me anything that I will not more willingly part withal - except my life, except my life, except my life.",Hamlet,2,2
Quote,Life,The time of life is short! / To spend that shortness basely were too long.,Henry IV Part I,5,2
Quote,Life,I love long life better than figs.,Antony And Cleopatra,1,2
